# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/dedup/classic
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Bowl,1,3,33.33,6.76,80.59,78.349432,85.908792
Cosmic,Box,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Bread,0,1,0.0,1.26,84.19,39.930571,0.0
Cosmic,Candle,1,3,33.33,6.76,80.59,26.003972,18.431697
Cosmic,Cellulartelephone,1,3,33.33,6.76,80.59,22.719873,4.48797
Cosmic,Cookingpan,1,2,50.0,9.43,90.57,17.911936,5.328899
Cosmic,Cup,2,2,100.0,29.24,99.16,32.263872,6.317841
Cosmic,Egg,1,3,33.33,6.76,80.59,132.049115,160.077184
Cosmic,Fabric,0,2,0.0,0.84,70.76,12.756526,6.286018
Cosmic,Fruit,0,2,0.0,0.84,70.76,38.717546,5.282838
Cosmic,Irishpotato,1,2,50.0,9.43,90.57,24.651344,6.260562
Cosmic,Knife,1,3,33.33,6.76,80.59,707.183632,982.081141
Cosmic,Objaabstractfigure,1,2,50.0,9.43,90.57,33.481933,11.116948
Cosmic,Objaabstractsculpture,0,1,0.0,1.26,84.19,15.930344,0.0
Cosmic,Objaadjustablewrench,1,3,33.33,6.76,80.59,24.049621,12.111461
Cosmic,Objaaerosolcan,1,1,100.0,15.81,98.74,31.389316,0.0
Cosmic,Objaalarmclock,1,1,100.0,15.81,98.74,42.816112,0.0
Cosmic,Objaalienbust,0,1,0.0,1.26,84.19,29.502118,0.0
Cosmic,Objaanemometer,0,3,0.0,0.63,60.24,13.591607,19.221038
Cosmic,Objaapple,2,2,100.0,29.24,99.16,20.1438,2.006016
Cosmic,Objaappliance,1,3,33.33,6.76,80.59,24.271111,17.191616
Cosmic,Objaarchitecturalmolding,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaarrowhead,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaartifact,0,1,0.0,1.26,84.19,24.356859,0.0
Cosmic,Objaartistmannequinhand,1,1,100.0,15.81,98.74,36.676451,0.0
Cosmic,Objaartistsmannequin,1,1,100.0,15.81,98.74,53.361474,0.0
Cosmic,Objaastrolabe,0,1,0.0,1.26,84.19,18.601604,0.0
Cosmic,Objaathleticshoe,1,2,50.0,9.43,90.57,57.852187,0.473021
Cosmic,Objaaudiorecorder,0,1,0.0,1.26,84.19,39.100137,0.0
Cosmic,Objaaviatorhelmet,1,1,100.0,15.81,98.74,32.826895,0.0
Cosmic,Objaavocado,0,1,0.0,1.26,84.19,7.575757,0.0
Cosmic,Objaaward,1,1,100.0,15.81,98.74,29.203102,0.0
Cosmic,Objaawl,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabadge,2,4,50.0,14.66,85.34,38.137255,16.377832
Cosmic,Objaband,2,2,100.0,29.24,99.16,30.895969,5.319379
Cosmic,Objabarcodescanner,1,1,100.0,15.81,98.74,25.328,0.0
