# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/audit/close/manifest.json
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Drawer,1,1,100.0,15.81,98.74,59.727821,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,52.381216,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,197.665792,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,124.220299,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,58.319692,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,42.530231,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,60.759573,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,124.812543,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,57.543287,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,150.098851,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,57.003724,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,52.268499,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,75.914385,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,214.605466,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,59.472698,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,62.719902,0.0
Cosmic,Refrigerator,1,1,100.0,15.81,98.74,45.801254,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,197.318214,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,64.467988,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,115.926535,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,143.290512,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,58.150212,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,62.567624,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,61.28795,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,32.647017,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,61.514139,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,170.662247,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,60.719782,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,57.44244,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,45.837806,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,192.724324,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,116.330228,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,113.008283,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,49.245128,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,127.547281,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,39.210637,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,45.557737,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,55.764758,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,61.513119,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,129.170084,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,107.60775,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,61.428093,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,54.502459,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,128.740519,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,70.409172,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,132.707938,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,77.169627,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,51.169313,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,49.532323,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,53.543557,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,90.892657,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,51.724769,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,66.002338,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,63.597131,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,59.099364,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,55.854308,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,199.952766,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,60.718088,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,51.173326,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,53.103978,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,61.763798,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,65.892941,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,36.028639,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,60.708125,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,188.609072,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,56.2368,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,105.919042,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,65.28769,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,143.861175,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,71.71191,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,63.653636,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,74.622749,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,103.524968,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,44.154133,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,89.805007,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,122.529434,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,145.225463,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,38.416866,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,135.342098,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,95.235926,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,62.84352,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,60.457797,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,69.564383,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,253.015866,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,158.34921,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,31.937018,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,106.460506,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,92.519224,0.0
