# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/dedup/filament
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Bowl,1,3,33.33,6.76,80.59,76.055757,87.298033
Cosmic,Box,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Bread,0,1,0.0,1.26,84.19,54.327121,0.0
Cosmic,Candle,2,3,66.67,19.41,93.24,35.596828,26.94597
Cosmic,Cellulartelephone,0,3,0.0,0.63,60.24,17.174025,10.006391
Cosmic,Cookingpan,1,2,50.0,9.43,90.57,13.482089,13.481807
Cosmic,Cup,2,2,100.0,29.24,99.16,34.559673,2.576037
Cosmic,Egg,0,3,0.0,0.63,60.24,144.777189,175.241763
Cosmic,Fabric,0,2,0.0,0.84,70.76,14.317707,3.048881
Cosmic,Fruit,0,2,0.0,0.84,70.76,36.939308,0.069571
Cosmic,Irishpotato,1,2,50.0,9.43,90.57,13.177874,13.177593
Cosmic,Knife,1,3,33.33,6.76,80.59,708.444609,981.207194
Cosmic,Objaabstractfigure,1,2,50.0,9.43,90.57,42.66705,1.987408
Cosmic,Objaabstractsculpture,0,1,0.0,1.26,84.19,12.849699,0.0
Cosmic,Objaadjustablewrench,1,3,33.33,6.76,80.59,19.981429,17.487339
Cosmic,Objaaerosolcan,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaalarmclock,0,1,0.0,1.26,84.19,11.503597,0.0
Cosmic,Objaalienbust,0,1,0.0,1.26,84.19,38.241385,0.0
Cosmic,Objaanemometer,0,3,0.0,0.63,60.24,20.345389,17.312356
Cosmic,Objaapple,2,2,100.0,29.24,99.16,23.517432,2.732136
Cosmic,Objaappliance,2,3,66.67,19.41,93.24,25.112439,18.66171
Cosmic,Objaarchitecturalmolding,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaarrowhead,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaartifact,0,1,0.0,1.26,84.19,13.274037,0.0
Cosmic,Objaartistmannequinhand,1,1,100.0,15.81,98.74,45.777614,0.0
Cosmic,Objaartistsmannequin,1,1,100.0,15.81,98.74,35.035445,0.0
Cosmic,Objaastrolabe,0,1,0.0,1.26,84.19,11.392682,0.0
Cosmic,Objaathleticshoe,2,2,100.0,29.24,99.16,36.774028,1.332839
Cosmic,Objaaudiorecorder,1,1,100.0,15.81,98.74,30.948285,0.0
Cosmic,Objaaviatorhelmet,1,1,100.0,15.81,98.74,30.868041,0.0
Cosmic,Objaavocado,0,1,0.0,1.26,84.19,7.466391,0.0
Cosmic,Objaaward,1,1,100.0,15.81,98.74,29.237683,0.0
Cosmic,Objaawl,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabadge,3,4,75.0,28.36,94.73,37.923945,15.934365
Cosmic,Objaband,2,2,100.0,29.24,99.16,28.003862,1.544694
Cosmic,Objabarcodescanner,1,1,100.0,15.81,98.74,37.337571,0.0
Cosmic,Objabat,1,2,50.0,9.43,90.57,26.076952,12.033408
Cosmic,Objabattery,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabatterypack,1,1,100.0,15.81,98.74,17.380036,0.0
Cosmic,Objabeetle,1,2,50.0,9.43,90.57,22.704693,22.704411
Cosmic,Objabell,2,2,100.0,29.24,99.16,37.338359,15.427531
Cosmic,Objabeltbuckle,2,2,100.0,29.24,99.16,25.377422,5.158822
Cosmic,Objabeveragecan,1,1,100.0,15.81,98.74,9.96769,0.0
Cosmic,Objabeveragecarton,0,2,0.0,0.84,70.76,875.165199,828.370746
Cosmic,Objabeveragecontainer,0,1,0.0,1.26,84.19,25.528149,0.0
Cosmic,Objabeveragecup,1,1,100.0,15.81,98.74,14.55604,0.0
Cosmic,Objabicyclepump,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabinoculars,0,1,0.0,1.26,84.19,22.959179,0.0
Cosmic,Objabird,1,1,100.0,15.81,98.74,30.258499,0.0
Cosmic,Objabolt,1,1,100.0,15.81,98.74,56.960735,0.0
Cosmic,Objabook,0,3,0.0,0.63,60.24,11.160248,15.782577
Cosmic,Objabookmark,2,3,66.67,19.41,93.24,25.146741,6.378538
Cosmic,Objabottle,1,1,100.0,15.81,98.74,43.890112,0.0
Cosmic,Objabottlecap,1,1,100.0,15.81,98.74,12.752193,0.0
Cosmic,Objabottleopener,1,3,33.33,6.76,80.59,207.1461,131.513914
Cosmic,Objabouquet,0,2,0.0,0.84,70.76,12.452678,12.452397
Cosmic,Objabowl,1,1,100.0,15.81,98.74,38.403142,0.0
Cosmic,Objabowlingpin,1,2,50.0,9.43,90.57,40.168108,8.335529
Cosmic,Objabowtie,1,2,50.0,9.43,90.57,16.277349,3.261444
Cosmic,Objabrakecaliper,1,2,50.0,9.43,90.57,18.181833,18.181552
Cosmic,Objabranch,1,1,100.0,15.81,98.74,38.152915,0.0
Cosmic,Objabreadroll,0,1,0.0,1.26,84.19,25.547078,0.0
Cosmic,Objabrooch,1,3,33.33,6.76,80.59,16.089975,1.19294
Cosmic,Objabrush,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabulletcartridge,2,2,100.0,29.24,99.16,37.190283,5.054163
Cosmic,Objabutton,1,2,50.0,9.43,90.57,21.546795,21.546514
Cosmic,Objacabinethinge,1,2,50.0,9.43,90.57,17.370768,17.370487
Cosmic,Objacaduceus,4,4,100.0,47.82,99.49,31.17268,4.11273
Cosmic,Objacake,1,2,50.0,9.43,90.57,14.231661,14.231379
