# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/dedup/nextto
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Alarmclock,2,2,100.0,29.24,99.16,27.751531,0.724136
Cosmic,Bowl,4,5,80.0,35.88,95.67,68.323503,97.872086
Cosmic,Box,2,2,100.0,29.24,99.16,20.060923,0.056297
Cosmic,Bread,0,1,0.0,1.26,84.19,20.187046,0.0
Cosmic,Candle,1,4,25.0,5.27,71.64,6.248621,10.822442
Cosmic,Cellulartelephone,0,4,0.0,0.51,52.18,20.041472,1.751309
Cosmic,Cookingpan,4,4,100.0,47.82,99.49,20.62554,4.723114
Cosmic,Cup,3,5,60.0,22.28,88.19,13.814542,7.695705
Cosmic,Egg,2,5,40.0,11.81,77.72,50.358362,41.472827
Cosmic,Fruit,1,5,20.0,4.33,64.12,36.712939,15.406342
Cosmic,Irishpotato,2,5,40.0,11.81,77.72,23.652924,10.241034
Cosmic,Knife,3,5,60.0,22.28,88.19,27.643725,10.7771
Cosmic,Laptop,1,3,33.33,6.76,80.59,2013.886362,2811.382339
Cosmic,Obja,0,1,0.0,1.26,84.19,29.366226,0.0
Cosmic,Objaabstractfigure,0,2,0.0,0.84,70.76,19.571131,1.47788
Cosmic,Objaacorn,0,1,0.0,1.26,84.19,32.528508,0.0
Cosmic,Objaadhesivetape,2,4,50.0,14.66,85.34,23.181262,2.945831
Cosmic,Objaadjustablewrench,0,2,0.0,0.84,70.76,19.043102,0.321072
Cosmic,Objaaerosolcan,0,2,0.0,0.84,70.76,7.3859,7.385619
Cosmic,Objaairblower,0,1,0.0,1.26,84.19,24.119796,0.0
Cosmic,Objaalienbust,0,1,0.0,1.26,84.19,37.294974,0.0
Cosmic,Objaammunition,1,2,50.0,9.43,90.57,19.913807,3.740458
Cosmic,Objaamulet,4,4,100.0,47.82,99.49,33.855737,22.486859
Cosmic,Objaanglegrinder,1,2,50.0,9.43,90.57,30.376842,30.376561
Cosmic,Objaanimalsculpture,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaappliance,0,1,0.0,1.26,84.19,34.851487,0.0
Cosmic,Objaarchitecturalmolding,1,1,100.0,15.81,98.74,23.711214,0.0
Cosmic,Objaarrowhead,0,3,0.0,0.63,60.24,20.797991,8.840534
Cosmic,Objaartificialflower,1,1,100.0,15.81,98.74,26.708985,0.0
Cosmic,Objaartificialplant,1,1,100.0,15.81,98.74,18.32992,0.0
Cosmic,Objaartistmannequinhand,0,1,0.0,1.26,84.19,44.06413,0.0
Cosmic,Objaastrolabe,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaathleticshoe,0,1,0.0,1.26,84.19,11.411466,0.0
Cosmic,Objaaviatorhelmet,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaavocado,0,1,0.0,1.26,84.19,24.22417,0.0
Cosmic,Objaaward,1,2,50.0,9.43,90.57,18.411148,0.52579
Cosmic,Objaawl,0,1,0.0,1.26,84.19,19.726792,0.0
Cosmic,Objabacteriummodel,1,1,100.0,15.81,98.74,41.0271,0.0
Cosmic,Objabadge,0,1,0.0,1.26,84.19,41.626079,0.0
Cosmic,Objabarclamp,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabarcodescanner,2,3,66.67,19.41,93.24,92.104314,70.998731
Cosmic,Objabattery,1,1,100.0,15.81,98.74,69.277319,0.0
Cosmic,Objabellpepper,1,2,50.0,9.43,90.57,20.814707,12.998413
Cosmic,Objabeltbuckle,0,2,0.0,0.84,70.76,10.602297,10.602015
Cosmic,Objabeveragecontainer,1,1,100.0,15.81,98.74,18.045628,0.0
Cosmic,Objabicyclepump,0,1,0.0,1.26,84.19,53.369373,0.0
Cosmic,Objablowtorch,1,1,100.0,15.81,98.74,21.744074,0.0
Cosmic,Objabolt,2,4,50.0,14.66,85.34,12.847086,4.451558
Cosmic,Objabomb,0,1,0.0,1.26,84.19,36.155097,0.0
Cosmic,Objabone,0,1,0.0,1.26,84.19,18.238804,0.0
Cosmic,Objabook,1,1,100.0,15.81,98.74,23.352121,0.0
Cosmic,Objaboot,0,1,0.0,1.26,84.19,45.991418,0.0
Cosmic,Objabottle,1,1,100.0,15.81,98.74,25.778298,0.0
Cosmic,Objabottleopener,1,2,50.0,9.43,90.57,36.059017,36.058736
Cosmic,Objabowl,1,1,100.0,15.81,98.74,23.283899,0.0
Cosmic,Objabowlingpin,1,1,100.0,15.81,98.74,21.437723,0.0
Cosmic,Objabowtie,0,1,0.0,1.26,84.19,30.475001,0.0
Cosmic,Objabulletcartridge,1,2,50.0,9.43,90.57,20.57096,0.106084
Cosmic,Objabutterflyknife,1,2,50.0,9.43,90.57,33.001484,8.322122
Cosmic,Objacaduceus,1,1,100.0,15.81,98.74,35.819785,0.0
Cosmic,Objacalculator,0,1,0.0,1.26,84.19,24.418935,0.0
Cosmic,Objacalculatorradio,1,1,100.0,15.81,98.74,21.647124,0.0
Cosmic,Objacamcorder,0,2,0.0,0.84,70.76,31.886114,3.382698
Cosmic,Objacamera,1,4,25.0,5.27,71.64,51.029371,34.319812
Cosmic,Objacan,1,2,50.0,9.43,90.57,16.230438,9.469362
Cosmic,Objacandle,0,3,0.0,0.63,60.24,6.22091,8.797297
Cosmic,Objacandleholder,0,1,0.0,1.26,84.19,116.635956,0.0
Cosmic,Objacandlestick,2,3,66.67,19.41,93.24,16.459774,12.099192
Cosmic,Objacandlestickholder,1,1,100.0,15.81,98.74,108.262305,0.0
Cosmic,Objacandywrapper,3,4,75.0,28.36,94.73,35.078465,12.567319
Cosmic,Objacanopener,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objacap,0,1,0.0,1.26,84.19,19.814083,0.0
Cosmic,Objacapsule,0,3,0.0,0.63,60.24,18.859952,4.721909
Cosmic,Objacasing,1,2,50.0,9.43,90.57,19.490947,1.074931
Cosmic,Objacassetteplayer,1,1,100.0,15.81,98.74,20.300061,0.0
Cosmic,Objaceramicbowl,0,1,0.0,1.26,84.19,17.990703,0.0
Cosmic,Objaceramiccat,3,3,100.0,39.76,99.37,28.959601,8.232803
Cosmic,Objaceramicdish,2,2,100.0,29.24,99.16,17.823065,2.527265
Cosmic,Objaceramicjug,1,1,100.0,15.81,98.74,28.315374,0.0
Cosmic,Objaceramiclid,0,2,0.0,0.84,70.76,18.273739,0.265144
Cosmic,Objaceramicmodel,1,1,100.0,15.81,98.74,73.12634,0.0
Cosmic,Objaceramicplate,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaceramicsculpture,1,1,100.0,15.81,98.74,12.793833,0.0
Cosmic,Objaceramicvessel,0,1,0.0,1.26,84.19,56.501233,0.0
Cosmic,Objachain,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objacheese,0,1,0.0,1.26,84.19,31.957232,0.0
