# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/audit/open/manifest.json
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Drawer,1,1,100.0,15.81,98.74,96.936717,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,108.490249,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,207.802795,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,120.08726,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,82.495341,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Dishwasher,1,1,100.0,15.81,98.74,260.942546,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,113.617342,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,145.52113,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,91.342326,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,206.561345,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,223.328563,0.0
Cosmic,Refrigerator,0,1,0.0,1.26,84.19,31.565378,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,96.104668,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,245.812985,0.0
Cosmic,Refrigerator,0,1,0.0,1.26,84.19,105.351179,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,185.16197,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,137.906548,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,166.035111,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,130.811703,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,97.455976,0.0
Cosmic,Refrigerator,0,1,0.0,1.26,84.19,17.580056,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,99.29983,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,265.085982,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,91.507847,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,147.245059,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,193.667828,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,91.358408,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,118.588447,0.0
Cosmic,Dishwasher,1,1,100.0,15.81,98.74,182.544576,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,202.212068,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,81.848914,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,191.1064,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,68.080072,0.0
Cosmic,Dishwasher,0,1,0.0,1.26,84.19,137.513626,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,134.326822,0.0
Cosmic,Dishwasher,0,1,0.0,1.26,84.19,142.906186,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,119.286363,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,145.28928,0.0
Cosmic,Refrigerator,1,1,100.0,15.81,98.74,90.497703,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,154.312937,0.0
Cosmic,Dishwasher,0,1,0.0,1.26,84.19,151.847346,0.0
Cosmic,Oven,1,1,100.0,15.81,98.74,182.857676,0.0
Cosmic,Dishwasher,0,1,0.0,1.26,84.19,110.629586,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,248.320291,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,162.6854,0.0
Cosmic,Refrigerator,1,1,100.0,15.81,98.74,136.446639,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,192.417648,0.0
Cosmic,Dishwasher,0,1,0.0,1.26,84.19,106.124597,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,171.397212,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,172.412068,0.0
Cosmic,Refrigerator,1,1,100.0,15.81,98.74,245.150438,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,109.095004,0.0
Cosmic,Refrigerator,1,1,100.0,15.81,98.74,154.223727,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,101.659983,0.0
Cosmic,Oven,0,1,0.0,1.26,84.19,53.910878,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,98.554413,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,140.083761,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,89.60755,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,197.575462,0.0
Cosmic,Drawer,1,1,100.0,15.81,98.74,130.270503,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,113.114167,0.0
Cosmic,Cabinet,1,1,100.0,15.81,98.74,138.922872,0.0
Cosmic,Drawer,0,1,0.0,1.26,84.19,98.226814,0.0
Cosmic,Cabinet,0,1,0.0,1.26,84.19,180.124485,0.0
