# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/dedup/pnp_color
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Alarmclock,1,1,100.0,15.81,98.74,29.121877,0.0
Cosmic,Bowl,1,4,25.0,5.27,71.64,22.2681,14.21113
Cosmic,Candle,1,2,50.0,9.43,90.57,21.444051,1.554861
Cosmic,Cellulartelephone,2,4,50.0,14.66,85.34,14.588184,14.633469
Cosmic,Cup,2,3,66.67,19.41,93.24,25.90998,23.698132
Cosmic,Egg,3,6,50.0,18.41,81.59,41.537524,45.258032
Cosmic,Fruit,1,3,33.33,6.76,80.59,24.512118,15.534486
Cosmic,Irishpotato,0,2,0.0,0.84,70.76,6.305991,6.30571
Cosmic,Knife,0,5,0.0,0.42,45.93,9.132069,7.782964
Cosmic,Objaacorn,0,2,0.0,0.84,70.76,91.396896,50.132133
Cosmic,Objaadhesivetape,1,1,100.0,15.81,98.74,22.550712,0.0
Cosmic,Objaadjustablewrench,1,3,33.33,6.76,80.59,21.564682,4.098448
Cosmic,Objaaerosolcan,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaairblower,0,1,0.0,1.26,84.19,43.116513,0.0
Cosmic,Objaalarmclock,1,2,50.0,9.43,90.57,35.590768,9.511168
Cosmic,Objaammunition,1,1,100.0,15.81,98.74,28.682438,0.0
Cosmic,Objaamulet,1,2,50.0,9.43,90.57,31.646669,6.055315
Cosmic,Objaanimalmodel,1,1,100.0,15.81,98.74,32.947204,0.0
Cosmic,Objaanimalsculpture,0,1,0.0,1.26,84.19,13.572128,0.0
Cosmic,Objaanimalskullreplica,0,1,0.0,1.26,84.19,46.070049,0.0
Cosmic,Objaantiqueiron,1,1,100.0,15.81,98.74,57.790553,0.0
Cosmic,Objaantiquekey,1,2,50.0,9.43,90.57,21.296078,21.295797
Cosmic,Objaarrowhead,0,1,0.0,1.26,84.19,23.333404,0.0
Cosmic,Objaartifact,1,2,50.0,9.43,90.57,48.120832,25.999136
Cosmic,Objaartificialflower,1,2,50.0,9.43,90.57,8.530323,8.530041
Cosmic,Objaastrolabe,1,1,100.0,15.81,98.74,20.427979,0.0
Cosmic,Objaathleticshoe,1,1,100.0,15.81,98.74,32.569417,0.0
Cosmic,Objaavocado,0,2,0.0,0.84,70.76,0.000281,0.0
Cosmic,Objaawl,3,4,75.0,28.36,94.73,15.882852,9.33805
Cosmic,Objabacteriummodel,2,2,100.0,29.24,99.16,27.15812,1.854423
Cosmic,Objabadge,3,6,50.0,18.41,81.59,31.026958,27.232062
Cosmic,Objabarcodescanner,1,3,33.33,6.76,80.59,42.199578,8.318957
Cosmic,Objabattery,1,2,50.0,9.43,90.57,19.602806,1.65599
Cosmic,Objabatterypack,1,2,50.0,9.43,90.57,66.637399,23.032556
Cosmic,Objabeetle,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabellpepper,1,3,33.33,6.76,80.59,100.205071,116.165566
Cosmic,Objabeltbuckle,1,2,50.0,9.43,90.57,11.160618,11.160337
Cosmic,Objabeveragecarton,1,2,50.0,9.43,90.57,29.241784,3.656942
Cosmic,Objabinoculars,1,2,50.0,9.43,90.57,14.504688,14.504406
Cosmic,Objabird,2,3,66.67,19.41,93.24,31.562808,4.209085
Cosmic,Objabirdfigurine,0,1,0.0,1.26,84.19,23.748617,0.0
Cosmic,Objabluetoothspeaker,1,2,50.0,9.43,90.57,19.662632,1.151086
Cosmic,Objabolt,2,2,100.0,29.24,99.16,25.017382,0.626605
Cosmic,Objabone,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabook,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabookmark,1,1,100.0,15.81,98.74,59.940054,0.0
Cosmic,Objabottle,2,3,66.67,19.41,93.24,1257.476861,1746.009693
Cosmic,Objabottlecap,0,1,0.0,1.26,84.19,19.607907,0.0
Cosmic,Objabottleopener,0,5,0.0,0.42,45.93,122.772211,48.632858
Cosmic,Objabouquet,0,1,0.0,1.26,84.19,56.722977,0.0
Cosmic,Objabowlingpin,1,1,100.0,15.81,98.74,34.21175,0.0
Cosmic,Objabowtie,1,4,25.0,5.27,71.64,32.533366,45.419805
Cosmic,Objabrakecaliper,0,1,0.0,1.26,84.19,20.671577,0.0
Cosmic,Objabread,0,2,0.0,0.84,70.76,34.402154,15.546706
Cosmic,Objabreadroll,0,1,0.0,1.26,84.19,0.000282,0.0
Cosmic,Objabrooch,1,4,25.0,5.27,71.64,40.219811,58.538499
Cosmic,Objabrush,0,2,0.0,0.84,70.76,29.274983,10.633383
Cosmic,Objabullet,1,1,100.0,15.81,98.74,23.197159,0.0
Cosmic,Objabulletcartridge,0,1,0.0,1.26,84.19,0.000281,0.0
