# policy_name: Cosmic
# run_path: /home/vrushabh-zinage/cosmic_ms_workspace/dedup/randcam
# dt: 0.067
# max_steps: None
policy,category,successes,total,success_rate_pct,ci_95_low_pct,ci_95_high_pct,jerk_joint_mean,jerk_joint_std
Cosmic,Bowl,0,3,0.0,0.63,60.24,80.179074,113.389936
Cosmic,Box,1,1,100.0,15.81,98.74,19.405664,0.0
Cosmic,Bread,0,1,0.0,1.26,84.19,44.532205,0.0
Cosmic,Candle,1,3,33.33,6.76,80.59,22.558243,24.237073
Cosmic,Cellulartelephone,0,3,0.0,0.63,60.24,18.732101,16.108569
Cosmic,Cookingpan,1,2,50.0,9.43,90.57,10.554561,10.554279
Cosmic,Cup,0,2,0.0,0.84,70.76,5.831051,5.83077
Cosmic,Egg,0,3,0.0,0.63,60.24,41.115268,31.216396
Cosmic,Fabric,0,2,0.0,0.84,70.76,18.792376,18.792095
Cosmic,Fruit,1,2,50.0,9.43,90.57,57.168185,9.021947
Cosmic,Irishpotato,2,2,100.0,29.24,99.16,22.621323,5.931488
Cosmic,Knife,2,3,66.67,19.41,93.24,716.573709,975.388221
Cosmic,Objaabstractfigure,1,2,50.0,9.43,90.57,16.770432,16.770151
Cosmic,Objaabstractsculpture,1,1,100.0,15.81,98.74,35.041348,0.0
Cosmic,Objaadjustablewrench,1,3,33.33,6.76,80.59,31.087721,13.467362
Cosmic,Objaaerosolcan,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaalarmclock,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaalienbust,0,1,0.0,1.26,84.19,110.83447,0.0
Cosmic,Objaanemometer,1,3,33.33,6.76,80.59,18.036696,9.147658
Cosmic,Objaapple,2,2,100.0,29.24,99.16,13.622319,3.445954
Cosmic,Objaappliance,2,3,66.67,19.41,93.24,35.581777,25.527918
Cosmic,Objaarchitecturalmolding,0,1,0.0,1.26,84.19,25.099318,0.0
Cosmic,Objaarrowhead,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objaartifact,1,1,100.0,15.81,98.74,8.244659,0.0
Cosmic,Objaartistmannequinhand,1,1,100.0,15.81,98.74,33.770999,0.0
Cosmic,Objaartistsmannequin,0,1,0.0,1.26,84.19,32.115484,0.0
Cosmic,Objaastrolabe,1,1,100.0,15.81,98.74,23.714828,0.0
Cosmic,Objaathleticshoe,2,2,100.0,29.24,99.16,38.869347,5.73723
Cosmic,Objaaudiorecorder,0,1,0.0,1.26,84.19,31.861889,0.0
Cosmic,Objaaviatorhelmet,0,1,0.0,1.26,84.19,24.086385,0.0
Cosmic,Objaavocado,1,1,100.0,15.81,98.74,16.68045,0.0
Cosmic,Objaaward,1,1,100.0,15.81,98.74,19.91847,0.0
Cosmic,Objaawl,1,1,100.0,15.81,98.74,22.252469,0.0
Cosmic,Objabadge,2,4,50.0,14.66,85.34,18.347658,21.838665
Cosmic,Objaband,2,2,100.0,29.24,99.16,28.470318,8.178879
Cosmic,Objabarcodescanner,1,1,100.0,15.81,98.74,25.701812,0.0
Cosmic,Objabat,1,2,50.0,9.43,90.57,19.423942,19.423661
Cosmic,Objabattery,0,1,0.0,1.26,84.19,9.393077,0.0
Cosmic,Objabatterypack,0,1,0.0,1.26,84.19,36.99554,0.0
Cosmic,Objabeetle,0,2,0.0,0.84,70.76,5.73875,5.738468
Cosmic,Objabell,2,2,100.0,29.24,99.16,36.224646,17.292302
Cosmic,Objabeltbuckle,2,2,100.0,29.24,99.16,27.693484,5.369102
Cosmic,Objabeveragecan,0,1,0.0,1.26,84.19,36.927231,0.0
Cosmic,Objabeveragecarton,0,2,0.0,0.84,70.76,857.935035,845.60091
Cosmic,Objabeveragecontainer,0,1,0.0,1.26,84.19,30.149648,0.0
Cosmic,Objabeveragecup,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabicyclepump,0,1,0.0,1.26,84.19,15.177524,0.0
Cosmic,Objabinoculars,1,1,100.0,15.81,98.74,18.683508,0.0
Cosmic,Objabird,1,1,100.0,15.81,98.74,43.092356,0.0
Cosmic,Objabolt,1,1,100.0,15.81,98.74,40.879025,0.0
Cosmic,Objabook,0,3,0.0,0.63,60.24,19.9729,19.845332
Cosmic,Objabookmark,3,3,100.0,39.76,99.37,33.999343,14.347488
Cosmic,Objabottle,1,1,100.0,15.81,98.74,32.148445,0.0
Cosmic,Objabottlecap,0,1,0.0,1.26,84.19,41.046876,0.0
Cosmic,Objabottleopener,0,3,0.0,0.63,60.24,178.063895,251.819977
Cosmic,Objabouquet,1,2,50.0,9.43,90.57,30.059953,30.059672
Cosmic,Objabowl,1,1,100.0,15.81,98.74,34.467286,0.0
Cosmic,Objabowlingpin,1,2,50.0,9.43,90.57,38.013963,2.89293
Cosmic,Objabowtie,1,2,50.0,9.43,90.57,35.395993,22.873575
Cosmic,Objabrakecaliper,2,2,100.0,29.24,99.16,38.184812,4.006968
Cosmic,Objabranch,1,1,100.0,15.81,98.74,32.418127,0.0
Cosmic,Objabreadroll,0,1,0.0,1.26,84.19,56.321637,0.0
Cosmic,Objabrooch,1,3,33.33,6.76,80.59,13.699679,10.403622
Cosmic,Objabrush,0,1,0.0,1.26,84.19,0.000281,0.0
Cosmic,Objabulletcartridge,2,2,100.0,29.24,99.16,38.15941,5.554987
Cosmic,Objabutton,1,2,50.0,9.43,90.57,17.386119,17.385838
Cosmic,Objacabinethinge,0,2,0.0,0.84,70.76,0.000281,0.0
Cosmic,Objacaduceus,2,4,50.0,14.66,85.34,17.556144,17.681624
Cosmic,Objacake,1,2,50.0,9.43,90.57,34.542647,14.16526
Cosmic,Objacamcorder,0,2,0.0,0.84,70.76,5.899181,5.898899
Cosmic,Objacamera,1,1,100.0,15.81,98.74,41.723646,0.0
Cosmic,Objacameralens,2,3,66.67,19.41,93.24,10.307863,7.474143
Cosmic,Objacan,1,1,100.0,15.81,98.74,8.262578,0.0
Cosmic,Objacandle,0,1,0.0,1.26,84.19,14.675078,0.0
Cosmic,Objacandleholder,1,2,50.0,9.43,90.57,33.824673,7.197901
Cosmic,Objacandywrapper,0,1,0.0,1.26,84.19,13.720739,0.0
Cosmic,Objacanister,0,1,0.0,1.26,84.19,18.544,0.0
Cosmic,Objacap,1,1,100.0,15.81,98.74,27.547101,0.0
